"id_usuario","direccion_estacion_origen","direccion_estacion_destino","duracion_recorrido","distancia","dia"
27319,"1226 Ecuador & Mansilla, Lucio Norberto, General","Armenia 1525 y Gorriti",1020,3530.1388927425,"Viernes"
454661,"Fitz Roy & Gorriti","Armenia 1525 y Gorriti",2704,8234.39671519833,"Domingo"
344275,"Armenia 2315 & Charcas","Armenia 1525 y Gorriti",696,1971.96275528986,"Jueves"
417813,"1321 Villarroel & Humboldt CABA","Armenia 1525 y Gorriti",1854,7267.57114757784,"Domingo"
176670,"Armenia 1525 y Gorriti","Armenia 1525 y Gorriti",448,1787.01645483573,"Lunes"
323426,"Parana & Juncal","Armenia 1525 y Gorriti",1301,4990.81399940607,"Domingo"
139067,"3822 Guemes","Armenia 1525 y Gorriti",812,2260.90029085107,"Sábado"
27319,"Dr Tomas Manuel De  Anchorena &  Jose A. Cabrera","Armenia 1525 y Gorriti",981,3975.5284570856,"Sábado"
27319,"Dr Tomas Manuel De  Anchorena &  Jose A. Cabrera","Armenia 1525 y Gorriti",736,3025.18317165474,"Jueves"
366300,"Zapiola & Dorrego","Armenia 1525 y Gorriti",1012,3015.49874587864,"Miércoles"
22241,"Santa Fe Av. & Dorrego","Armenia 1525 y Gorriti",743,2226.70658551312,"Martes"
9614,"F.J.Santamaria de Oro & Guatemala","Armenia 1525 y Gorriti",446,1453.9443175994,"Jueves"
52659,"708 Pasco & Chile","México & Lima",552,1816.96519779507,"Viernes"
52659,"3024 Calvo, Carlos","México & Lima",889,3364.33587479114,"Miércoles"
517670,"Villaflor, Azucena & Dealessi, Pierina","México & Lima",707,2214.4415925328,"Martes"
378469,"1413 Araoz & Gorriti CABA","Av. Pres. Figueroa Alcorta 2120",1680,5096.06999973767,"Domingo"
423251,"Uriburu Jose E., Pres. & Paraguay","Av. Pres. Figueroa Alcorta 2120",4323,15830.3253908234,"Sábado"
366300,"2939 Cavia","Av. Pres. Figueroa Alcorta 2120",860,2829.64098350041,"Miércoles"
489084,"Av. Del Libertador, 3260","Av. Pres. Figueroa Alcorta 2120",727,2182.5458230593,"Martes"
291847,"Av. Del Libertador, 3260","Av. Pres. Figueroa Alcorta 2120",2590,9816.43684969943,"Domingo"
246515,"3050 Ugarteche","Av. Pres. Figueroa Alcorta 2120",706,2364.33970591752,"Martes"
15019,"Moreno & Av Paseo Colon","Av. Pres. Figueroa Alcorta 2120",1095,3050.69230086519,"Martes"
215828,"Santa Fe Av. & Bullrich, Int. Av.","1226 Ecuador & Mansilla, Lucio Norberto, General",1356,4818.61038454808,"Viernes"
29130,"Avenida Juan de Garay 1050","1226 Ecuador & Mansilla, Lucio Norberto, General",1420,5197.08246273351,"Martes"
107249,"Lavalle & Acuña De Figueroa, Francisco","1226 Ecuador & Mansilla, Lucio Norberto, General",420,1735.22066061075,"Domingo"
107249,"Lavalle & Acuña De Figueroa, Francisco","1226 Ecuador & Mansilla, Lucio Norberto, General",670,2698.35912592761,"Lunes"
107249,"Lavalle & Acuña De Figueroa, Francisco","1226 Ecuador & Mansilla, Lucio Norberto, General",560,2247.22585930592,"Jueves"
6882,"Santa Fe Av. & Dorrego","1226 Ecuador & Mansilla, Lucio Norberto, General",1577,4624.35154633584,"Martes"
106459,"2001 Donado","Moreno & Av Paseo Colon",5242,20832.9898084391,"Martes"
121772,"Cerrito 990 y Av. Marcelo T. De Alvear","Beruti & Ecuador",928,3519.11938398456,"Viernes"
